"gene_symbol","log2FoldChange","padj","pathway_count","drug_count","max_phase","dgidb_drug_count","top_dgidb_drug","tier","in_ECM","in_VEGF","in_IGF","in_NFKB","in_EMT"
"TNC",1.55577508536353,0.000141379723881737,4,2,"PHASE_3",8,"F16SIP 131I","Established (clinical-stage evidence)",TRUE,FALSE,TRUE,TRUE,TRUE
"MMP2",1.17389833997915,1.43228032588447e-17,3,3,"PHASE_3",48,"OBOVATAL","Established (clinical-stage evidence)",TRUE,FALSE,TRUE,FALSE,TRUE
"VEGFA",1.32739817533618,3.37913485435045e-16,3,14,"APPROVAL",56,"PEGAPTANIB","Established (clinical-stage evidence)",FALSE,TRUE,FALSE,TRUE,TRUE
"CCN1",1.75936220455544,3.60631660882704e-13,3,0,NA,3,"RECOMBINANT INTERLEUKIN-8","Exploratory (no clinical-stage evidence)",FALSE,FALSE,TRUE,TRUE,TRUE
"SERPINE1",2.87763853378526,1.82540120371713e-11,3,1,"PHASE_1",35,"THROMBOLYTIC AGENT","Established (clinical-stage evidence)",TRUE,FALSE,FALSE,TRUE,TRUE
"CD44",0.769455448087956,7.99212680705202e-11,3,2,"UNKNOWN",12,"BIVATUZUMAB","Established (clinical-stage evidence)",TRUE,FALSE,FALSE,TRUE,TRUE
"FN1",0.522566476779703,0.000178276099190105,3,5,"PHASE_2",11,"L19IL2","Established (clinical-stage evidence)",TRUE,FALSE,TRUE,FALSE,TRUE
"IL6",3.53943514033181,0.00485314328665718,3,6,"APPROVAL",61,"CLAZAKIZUMAB","Established (clinical-stage evidence)",FALSE,FALSE,TRUE,TRUE,TRUE
"JUN",1.4524795002076,3.36798850502845e-42,2,0,NA,47,"SERGEOLIDE","Exploratory (no clinical-stage evidence)",FALSE,FALSE,FALSE,TRUE,TRUE
"IGFBP4",1.58416780949672,2.37447053564438e-35,2,0,NA,1,"PREGNANT MARE SERUM GONADOTROPIN","Exploratory (no clinical-stage evidence)",FALSE,FALSE,TRUE,FALSE,TRUE
"GEM",2.1912645479199,9.37572868024465e-25,2,0,NA,1,"LIRILUMAB","Exploratory (no clinical-stage evidence)",FALSE,FALSE,FALSE,TRUE,TRUE
"VEGFC",2.90360454434062,2.6790863689357e-18,2,1,"PHASE_3",9,"VGX-100","Established (clinical-stage evidence)",FALSE,TRUE,FALSE,FALSE,TRUE
"PLAUR",2.37531923026705,9.55708698177395e-15,2,0,NA,8,"DIPHTHERIA TOXIN","Exploratory (no clinical-stage evidence)",FALSE,FALSE,FALSE,TRUE,TRUE
"THBS1",1.55819627225696,2.30796994882315e-12,2,0,NA,13,"TSP-1 MIMETIC FUSION PROTEIN CVX-045","Exploratory (no clinical-stage evidence)",TRUE,FALSE,FALSE,FALSE,TRUE
"ICAM1",2.60797108002587,3.62743550584215e-11,2,3,"PHASE_2",6,"ALICAFORSEN","Established (clinical-stage evidence)",TRUE,FALSE,FALSE,TRUE,FALSE
"AXL",1.26715032610593,1.99854257995116e-25,1,7,"PHASE_3",51,"BEMCENTINIB","Established (clinical-stage evidence)",FALSE,TRUE,FALSE,FALSE,FALSE
"ACVR1B",1.20967025740724,4.49808268312592e-14,0,0,NA,5,"VACTOSERTIB","Exploratory (no clinical-stage evidence)",FALSE,FALSE,FALSE,FALSE,FALSE
