"gene_symbol","log2FoldChange","padj","drug_count","max_phase","dgidb_drug_count","in_ECM","in_VEGF","in_IGF","in_NFKB","in_EMT","pathway_count","tier"
"TNC",1.55577508536353,0.000141379723881737,2,"PHASE_3",8,TRUE,FALSE,TRUE,TRUE,TRUE,4,"Established (clinical-stage evidence)"
"MMP2",1.17389833997915,1.43228032588447e-17,3,"PHASE_3",48,TRUE,FALSE,TRUE,FALSE,TRUE,3,"Established (clinical-stage evidence)"
"VEGFA",1.32739817533618,3.37913485435045e-16,14,"APPROVAL",56,FALSE,TRUE,FALSE,TRUE,TRUE,3,"Established (clinical-stage evidence)"
"CCN1",1.75936220455544,3.60631660882704e-13,0,NA,3,FALSE,FALSE,TRUE,TRUE,TRUE,3,"Exploratory (no clinical-stage evidence)"
"SERPINE1",2.87763853378526,1.82540120371713e-11,1,"PHASE_1",35,TRUE,FALSE,FALSE,TRUE,TRUE,3,"Established (clinical-stage evidence)"
"CD44",0.769455448087956,7.99212680705202e-11,2,"UNKNOWN",12,TRUE,FALSE,FALSE,TRUE,TRUE,3,"Established (clinical-stage evidence)"
"FN1",0.522566476779703,0.000178276099190105,5,"PHASE_2",11,TRUE,FALSE,TRUE,FALSE,TRUE,3,"Established (clinical-stage evidence)"
"IL6",3.53943514033181,0.00485314328665718,6,"APPROVAL",61,FALSE,FALSE,TRUE,TRUE,TRUE,3,"Established (clinical-stage evidence)"
"JUN",1.4524795002076,3.36798850502845e-42,0,NA,47,FALSE,FALSE,FALSE,TRUE,TRUE,2,"Exploratory (no clinical-stage evidence)"
"IGFBP4",1.58416780949672,2.37447053564438e-35,0,NA,1,FALSE,FALSE,TRUE,FALSE,TRUE,2,"Exploratory (no clinical-stage evidence)"
"GEM",2.1912645479199,9.37572868024465e-25,0,NA,1,FALSE,FALSE,FALSE,TRUE,TRUE,2,"Exploratory (no clinical-stage evidence)"
"VEGFC",2.90360454434062,2.6790863689357e-18,1,"PHASE_3",9,FALSE,TRUE,FALSE,FALSE,TRUE,2,"Established (clinical-stage evidence)"
"PLAUR",2.37531923026705,9.55708698177395e-15,0,NA,8,FALSE,FALSE,FALSE,TRUE,TRUE,2,"Exploratory (no clinical-stage evidence)"
"THBS1",1.55819627225696,2.30796994882315e-12,0,NA,13,TRUE,FALSE,FALSE,FALSE,TRUE,2,"Exploratory (no clinical-stage evidence)"
"ICAM1",2.60797108002587,3.62743550584215e-11,3,"PHASE_2",6,TRUE,FALSE,FALSE,TRUE,FALSE,2,"Established (clinical-stage evidence)"
"AXL",1.26715032610593,1.99854257995116e-25,7,"PHASE_3",51,FALSE,TRUE,FALSE,FALSE,FALSE,1,"Established (clinical-stage evidence)"
"ACVR1B",1.20967025740724,4.49808268312592e-14,0,NA,5,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Exploratory (no clinical-stage evidence)"
