"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","92/1437","321/11448",0.286604361370716,2.28326146762141,8.83515394071154,4.60147635694601e-15,6.31322556172993e-12,5.37161818931908e-12,"TIMP2/CTSB/MMP2/PECAM1/THBS1/SERPINE1/ICAM1/CD44/MMP14/FGF2/ACTB/VCAN/ADAM12/SGCD/ITGA2/SH3PXD2A/MUSK/COL15A1/EFEMP1/TNC/SNTB1/FN1/PLEC/MMP19/BMP1/COL1A1/COL4A5/NID2/NTN4/LAMC2/ACTC1/NID1/FBN2/EMILIN1/CTSD/ITGAV/COL16A1/TLL2/COL6A2/CAPN15/COL28A1/ACTG1/ADAMTS1/PRKCA/BMP2/ADAMTS3/EMILIN3/SPP1/SGCG/ITGA5/TGFB1/ITGAM/LAMC1/CAPN7/TLL1/LAMA2/COL5A3/COL6A1/COMP/LAMB2/COL1A2/MMP16/ITGB1/SPARC/LTBP3/JAM2/BGN/COL8A1/LTBP4/SGCE/VCAM1/COL10A1/MMP24/DTNA/DDR2/LOXL2/DCN/P4HA1/ITGA6/NCAM1/ADAMTS2/PDGFA/ITGB8/TIMP1/TNXB/COL4A3/ACTN1/PLOD1/EMILIN2/HAPLN1/SDC3/KLKB1",92
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","43/1437","111/11448",0.387387387387387,3.08615922812165,8.36749312436269,2.07620073927215e-12,1.42427370714069e-09,1.21184558939622e-09,"MMP2/VEGFA/CCL2/HGF/ICAM1/IL4R/FGF2/FOS/CDKN1A/VIM/TNFRSF1B/HIF1A/ANXA1/SOCS3/FN1/JUNB/JAK3/PIM1/PTGS2/RHOU/IL13RA1/MCL1/STAT3/IL6/HSP90B1/RORA/ZEB1/MYC/IL18/TGFB1/ITGAM/ALOX5/COL1A2/ITGB1/JAK2/VCAM1/JAK1/PIK3R1/LIF/CD36/TIMP1/TYK2/POU2F1",43
"REACTOME_RHO_GTPASE_CYCLE","REACTOME_RHO_GTPASE_CYCLE","106/1437","450/11448",0.235555555555556,1.87657620041754,7.1874455748067,3.80238832929554e-11,1.73895892926449e-08,1.47959602006623e-08,"IL32/DOCK5/PREX2/OPHN1/STK10/IQGAP2/ACTB/VIM/TRIO/SH3PXD2A/DOCK10/DBN1/TPM4/MYO9B/DOCK9/AKAP12/RHOU/WASF3/SPATA13/PCDH7/TJP2/RHOJ/ACTC1/TPM3/PDE5A/PLXNA1/PLD1/RND3/SRGAP1/TFRC/NCKAP1L/PLXNB1/PREX1/ACTG1/RASAL2/ARHGAP24/CSK/RHOC/PLEKHG1/ARHGEF10/ARAP2/ABR/FMNL2/GARRE1/PEAK1/SRGAP2/DOCK8/ARHGEF28/JUP/RTKN/FAM135A/ABL2/ITGB1/HSP90AB1/ARHGEF1/SLC4A7/NDUFA5/SPTAN1/GOLGA3/EPSTI1/WDR6/ARHGEF10L/ARHGDIA/BCAP31/RAPGEF1/ARHGEF40/RASGRF2/VAV2/PICALM/LETM1/CIT/DIAPH1/CAPZB/ARHGAP28/WWP2/PIK3R1/ARHGAP30/ITSN1/MCF2L/RHOB/PLEKHG2/CDC42BPB/NHS/IQGAP1/SOS1/NCF2/JAG1/TRIP10/FAM13A/DEF6/ARHGEF6/MCAM/CDC37/FERMT2/ABI2/KALRN/BAIAP2/CCT6A/DOCK4/CCP110/DOCK11/ACTN1/PKN2/ARHGEF7/STAM/NISCH",106
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS","REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS","33/1437","80/11448",0.4125,3.28622129436326,7.7742181195636,1.06850241517629e-10,3.66496328405466e-08,3.11833994323816e-08,"THBS1/FGF2/ACTB/SGCD/ITGA2/TNC/SNTB1/FN1/COL1A1/COL4A5/NTN4/LAMC2/ACTC1/ITGAV/ACTG1/PRKCA/SGCG/TGFB1/LAMC1/LAMA2/COL5A3/LAMB2/COL1A2/ITGB1/SGCE/COL10A1/DTNA/DDR2/ITGA6/PDGFA/COL4A3/ACTN1/SDC3",33
"REACTOME_SIGNALING_BY_VEGF","REACTOME_SIGNALING_BY_VEGF","37/1437","106/11448",0.349056603773585,2.78079331941545,6.97842031416556,2.25823315735693e-09,6.19659178378742e-07,5.27238015054492e-07,"CTNNB1/AXL/VEGFC/VEGFA/ACTB/NRP1/MAPKAPK2/PXN/PGF/PRR5/ITPR1/NRP2/WASF3/SPHK1/PRKACB/SHB/ITGAV/RICTOR/MAPK12/NCKAP1L/VEGFD/ACTG1/RASA1/PRKCA/BCAR1/JUP/AKT3/PDPK1/CRK/HSPB1/VAV2/ITPR3/PIK3R1/NCF2/ABI2/BAIAP2/HRAS",37
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","13/1437","18/11448",0.722222222222222,5.75365344467641,7.6467369280984,8.49471936380172e-09,1.94245916118933e-06,1.6527445218344e-06,"ACTB/PXN/FLNA/FBLIM1/LIMS1/VASP/ACTG1/TESK1/PARVB/ITGB1/ARHGEF6/FERMT2/ACTN1",13
"REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS","100/1437","461/11448",0.216919739696312,1.72811216426123,6.04567339914795,1.53891288804553e-08,3.01626926056925e-06,2.5663975832218e-06,"JUN/IL6ST/HMGB1/TNFRSF1A/MMP2/VEGFA/CCL2/HGF/IL32/ICAM1/RPS6KA5/IL15/IL4R/IL1RAPL1/FGF2/FOS/CSF1/CDKN1A/VIM/MIF/TNFRSF1B/LCP1/HIF1A/CXCL1/MAPKAPK2/ANXA1/STAT5B/MAP3K8/SOCS3/OSMR/FN1/IL1R1/UBC/JUNB/JAK3/PIM1/MAP2K3/PTGS2/NLRC5/RHOU/CXCL2/IL13RA1/PSMA1/MCL1/NFKB2/STAT3/IL6/HSP90B1/RORA/ZEB1/CNN2/MYC/PTPN2/IL18/CFL1/IRAK2/ANXA2/TXLNA/TAB2/CRLF1/TGFB1/ITGAM/SHC1/SEM1/MEF2C/IRS1/IL1RAP/ALOX5/COL1A2/ITGB1/JAK2/MAPK10/IRAK1/NFKBIA/CRK/PSMD14/RAPGEF1/SMARCA4/VCAM1/RELA/PITPNA/SOD2/CNTFR/JAK1/IL7/IL27RA/CBL/PIK3R1/LIF/STAT2/PTPN4/HCK/SOS1/CD36/IL11RA/TIMP1/PELI1/TYK2/INPP5D/POU2F1",100
"REACTOME_RAC1_GTPASE_CYCLE","REACTOME_RAC1_GTPASE_CYCLE","51/1437","184/11448",0.277173913043478,2.20813288554053,6.25911298849483,2.14684461254233e-08,3.68183851051009e-06,3.1326982569861e-06,"DOCK5/PREX2/OPHN1/IQGAP2/TRIO/DOCK10/MYO9B/DOCK9/WASF3/SPATA13/PLD1/SRGAP1/TFRC/NCKAP1L/PREX1/ARHGAP24/PLEKHG1/ARHGEF10/ARAP2/ABR/GARRE1/SRGAP2/DOCK8/ABL2/ITGB1/ARHGDIA/RASGRF2/VAV2/CIT/PIK3R1/ARHGAP30/MCF2L/PLEKHG2/NHS/IQGAP1/SOS1/NCF2/JAG1/FAM13A/DEF6/ARHGEF6/MCAM/FERMT2/ABI2/KALRN/BAIAP2/DOCK4/DOCK11/PKN2/ARHGEF7/NISCH",51
"REACTOME_SYNDECAN_INTERACTIONS","REACTOME_SYNDECAN_INTERACTIONS","15/1437","27/11448",0.555555555555556,4.4258872651357,6.75209242978282,1.11895306665765e-07,1.70578178606032e-05,1.45136719406237e-05,"THBS1/FGF2/ITGA2/TNC/FN1/COL1A1/ITGAV/PRKCA/TGFB1/COL5A3/COL1A2/ITGB1/ITGA6/ACTN1/SDC3",15
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION","63/1437","261/11448",0.241379310344828,1.92297170830034,5.71461949331117,1.51157361551107e-07,2.07387900048119e-05,1.76456330484398e-05,"IGF1/VEGFC/VEGFA/PECAM1/HGF/THBS1/SERPINE1/CD9/ACTN4/FN1/ITPR1/COL1A1/FLNA/LHFPL2/PCDH7/DGKB/PSAP/VCL/PDPN/BRPF3/CHID1/APBB1IP/VEGFD/DGKG/CFL1/PRKCA/GNG2/WDR1/CSK/BCAR1/GAS6/TGFB1/DGKH/SHC1/DGKE/IGF2/MGLL/COL1A2/GNB1/SPARC/PDPK1/CRK/EGF/PFN1/TTN/VAV2/ITPR3/PIK3R1/ISLR/RHOB/PTPN1/SOS1/CD36/PDGFA/RARRES2/DGKZ/LAMP2/TIMP1/GNG7/ACTN1/GNAI2/PIK3R5/ANXA5",63
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS","REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS","37/1437","124/11448",0.298387096774194,2.37712977304869,5.84145821837858,2.45911481797753e-07,3.06718684569561e-05,2.60972089295414e-05,"PAPPA/IGF1/IGFBP4/IGFBP7/MMP2/C3/CCN1/FAM20C/IGFBP5/CSF1/VCAN/FSTL1/IGFBP2/IGFBP3/TNC/FN1/APOL1/CHRDL1/IGFBP6/IL6/HSP90B1/SPARCL1/GPC3/SPP1/GAS6/LAMC1/LAMB2/IGF2/CDH2/NUCB1/SHISA5/PRKCSH/FAM20A/FSTL3/MFGE8/TIMP1/RCN1",37
"REACTOME_SIGNALING_BY_MET","REACTOME_SIGNALING_BY_MET","27/1437","79/11448",0.341772151898734,2.72276102639994,5.82120569371831,5.33366376567248e-07,6.09815557208553e-05,5.18862554046559e-05,"HGF/ITGA2/FN1/UBC/COL1A1/PTPRJ/LRIG1/LAMC2/STAT3/GAB1/PTPN2/LAMC1/SHC1/LAMA2/COL5A3/LAMB2/COL1A2/ITGB1/CRK/RAPGEF1/CBL/PIK3R1/PTPN1/SOS1/EPS15/HRAS/STAM",27
"REACTOME_SIGNALING_BY_EGFR","REACTOME_SIGNALING_BY_EGFR","21/1437","53/11448",0.39622641509434,3.15657620041754,5.96185038356771,5.98414575061732e-07,6.31557536142074e-05,5.37361752018996e-05,"ADAM12/AREG/PXN/UBC/LRIG1/GAB1/SPRY1/CSK/EGFR/SHC1/PTPRK/EGF/CBL/PIK3R1/EPN1/SOS1/SPRY2/EPS15/HRAS/ARHGEF7/STAM",21
"REACTOME_ECM_PROTEOGLYCANS","REACTOME_ECM_PROTEOGLYCANS","26/1437","76/11448",0.342105263157895,2.72541478958356,5.71764756165716,8.44536276937412e-07,8.27645551398663e-05,7.04203557235782e-05,"SERPINE1/VCAN/ITGA2/MUSK/TNC/FN1/COL1A1/COL4A5/ITGAV/COL6A2/TGFB1/LAMC1/LAMA2/COL5A3/COL6A1/COMP/LAMB2/COL1A2/ITGB1/SPARC/BGN/DCN/NCAM1/TNXB/COL4A3/HAPLN1",26
